sector,country,gamma_VA
2,8,0.689977229
3,8,0.233274847
4,8,0.344338319
5,8,0.361186644
6,8,0.421004524
7,8,0.028658009
8,8,0.429534948
9,8,0.410886325
10,8,0.423708168
11,8,0.421567777
12,8,0.421567777
13,8,0.426713285
14,8,0.404482141
15,8,0.404482141
16,8,0.404482141
17,8,0.404482141
18,8,0.377765669
19,8,0.377765669
20,8,0.389811329
21,8,0.64617166
22,8,0.364550457
23,8,0.565516902
24,8,0.452439361
25,8,0.519270609
26,8,0.229056708
27,8,0.316134949
28,8,0.521681201
29,8,0.669277072
30,8,0.622802175
31,8,0.760122801
32,8,0.565777267
33,8,0.565777267
34,8,0.565777267
35,8,0.565777267
36,8,0.673032413
37,8,0.764630278
38,8,0.755309694
39,8,0.633740126
40,8,1
1,9,0.552283206
2,9,0.404570614
3,9,0.26555129
4,9,0.399210428
5,9,0.317736919
6,9,0.340283189
7,9,0.130768326
8,9,0.355193215
9,9,0.387085753
10,9,0.420061744
11,9,0.292534446
12,9,0.292534446
13,9,0.355841359
14,9,0.319680391
15,9,0.319680391
16,9,0.319680391
17,9,0.319680391
18,9,0.347136933
19,9,0.347136933
20,9,0.446790034
21,9,0.564120112
22,9,0.382056431
23,9,0.552866296
24,9,0.373438183
25,9,0.612000549
26,9,0.36370267
27,9,0.464142063
28,9,0.483948898
29,9,0.568872167
30,9,0.666747332
31,9,0.633903066
32,9,0.53745716
33,9,0.53745716
34,9,0.53745716
35,9,0.53745716
36,9,0.585631131
37,9,0.706610772
38,9,0.737749167
39,9,0.594429408
40,9,1
1,10,0.489633709
2,10,0.396274778
3,10,0.238676143
4,10,0.326902473
5,10,0.348814853
6,10,0.344932809
7,10,0.144860572
8,10,0.259656304
9,10,0.376182568
10,10,0.38572455
11,10,0.354137645
12,10,0.354137645
13,10,0.351380048
14,10,0.307873416
15,10,0.307873416
16,10,0.307873416
17,10,0.307873416
18,10,0.198650098
19,10,0.198650098
20,10,0.370038322
21,10,0.442559538
22,10,0.440162586
23,10,0.554464275
24,10,0.499441353
25,10,0.529556434
26,10,0.176087278
27,10,0.452949789
28,10,0.452199881
29,10,0.602525222
30,10,0.508863793
31,10,0.778460107
32,10,0.562518652
33,10,0.562518652
34,10,0.562518652
35,10,0.562518652
36,10,0.714766766
37,10,0.847068939
38,10,0.754784618
39,10,0.539965259
40,10,1
1,11,0.464600388
2,11,0.448339781
3,11,0.277575628
4,11,0.337874495
5,11,0.375968091
6,11,0.41046497
7,11,0.086849829
8,11,0.381406268
9,11,0.407042202
10,11,0.431517487
11,11,0.3784728
12,11,0.3784728
13,11,0.414472503
14,11,0.412723255
15,11,0.412723255
16,11,0.412723255
17,11,0.412723255
18,11,0.334725219
19,11,0.334725219
20,11,0.395985681
21,11,0.539429068
22,11,0.464273921
23,11,0.607233124
24,11,0.411440656
25,11,0.541137434
26,11,0.352543488
27,11,0.351611443
28,11,0.320694646
29,11,0.77783413
30,11,0.540231056
31,11,0.731206412
32,11,0.679364638
33,11,0.679364638
34,11,0.679364638
35,11,0.679364638
36,11,0.719322626
37,11,0.830775788
38,11,0.683445483
39,11,0.626994442
40,11,1
1,12,0.638186304
2,12,0.628558717
3,12,0.238771518
4,12,0.407183741
5,12,0.355559714
6,12,0.325136106
7,12,0.124404976
8,12,0.314015868
9,12,0.35091959
10,12,0.345818221
11,12,0.264509104
12,12,0.264509104
13,12,0.348053024
14,12,0.302086368
15,12,0.302086368
16,12,0.302086368
17,12,0.302086368
18,12,0.520876053
19,12,0.520876053
20,12,0.488337712
21,12,0.710114953
22,12,0.379946688
23,12,0.694204995
24,12,0.516532586
25,12,0.413094145
26,12,0.286805659
27,12,0.559548151
28,12,0.364743341
29,12,0.846690274
30,12,0.71525414
31,12,0.871897487
32,12,0.48423425
33,12,0.48423425
34,12,0.48423425
35,12,0.48423425
36,12,0.706042582
37,12,0.912225276
38,12,0.680543986
39,12,0.610258076
40,12,1
1,13,0.410193027
2,13,0.432315761
3,13,0.193188253
4,13,0.291843259
