Index,Country
1, Argentina    
2, Australia   
3, Austria 
4, Brazil  
5, Canada  
6, Chile 
7, China   
8, Denmark 
9, Finland 
10, France
11, Germany  
12, Greece  
13, Hungary 
14, India   
15, Indonesia  
16, Ireland 
17, Italy   
18, Japan   
19, Korea 
20, Mexico
21, Netherlands 
22, New Zealand 
23, Norway  
24, Portugal    
25, South Africa 
26, Spain   
27, Sweden  
28, Turkey  
29, UK   
30, USA
31, ROW
