sector,country,alpha
22,8,0.086984006
23,8,0.097308304
24,8,0.024130833
25,8,0.011383208
26,8,0.037556049
27,8,0.001641046
28,8,0
29,8,0.007245766
30,8,0.018383925
31,8,0.109212636
32,8,0.001018289
33,8,0.003942087
34,8,0.002976191
35,8,0.010405254
36,8,0.089295894
37,8,0.069788567
38,8,0.132757242
39,8,0.044183259
40,8,0.001462516
1,9,0.038257961
2,9,0.003857987
3,9,0.075963773
4,9,0.020417909
5,9,0
6,9,0
7,9,0.015165042
8,9,0.00596463
9,9,0.000520632
10,9,0
11,9,0
12,9,0
13,9,0.023259091
14,9,0.003639581
15,9,0.003453732
16,9,0.00230595
17,9,0.004357292
18,9,0.008393433
19,9,0.014981047
20,9,0.008140219
21,9,0.000250335
22,9,0.104183803
23,9,0.066213344
24,9,0.033045505
25,9,0.012115661
26,9,0.014644149
27,9,0.00314933
28,9,0.024358106
29,9,0.006224283
30,9,0.025471345
31,9,0.125059802
32,9,0
33,9,0.011184184
34,9,0.004640586
35,9,0
36,9,0.087332017
37,9,0.072679336
38,9,0.126659612
39,9,0.053451919
40,9,0.000658404
1,10,0.023763007
2,10,0.002743758
3,10,0.071946174
4,10,0.028666507
5,10,0.001920715
6,10,0.016302044
7,10,0.009904543
8,10,0.02676189
9,10,0.006603916
10,10,0.010105894
11,10,0.002247058
12,10,0.013658442
13,10,0.023521745
14,10,0.00743374
15,10,0.008361949
16,10,0.011570413
17,10,0.006197327
18,10,0.041015074
19,10,0.004880839
20,10,0.015808284
21,10,0
22,10,0.095090545
23,10,0.070666887
24,10,0.032118859
25,10,0.016916761
26,10,0.002270822
27,10,0.004592137
28,10,0
29,10,0.005428035
30,10,0.030180963
31,10,0.107577561
32,10,0
33,10,0.001959523
34,10,0.005431793
35,10,0.006539233
36,10,0.081796169
37,10,0.060178681
38,10,0.095945007
39,10,0.044285963
40,10,0.005607743
1,11,0.009870141
2,11,0.007376066
3,11,0.059436813
4,11,0.028683606
5,11,0.000755766
6,11,0.013752625
7,11,0.009355848
8,11,0.013000277
9,11,0.005043758
10,11,0.00261881
11,11,0
12,11,0.01200645
13,11,0.032951177
14,11,0.006869092
15,11,0.016839082
16,11,0.008534509
17,11,0.009132636
18,11,0.043073301
19,11,0.010146463
20,11,0.016912288
21,11,0.019296874
22,11,0.112198615
23,11,0.087145113
24,11,0.030151254
25,11,0.019152515
26,11,0.002761934
27,11,0.00503589
28,11,0.005543105
29,11,0.01212469
30,11,0.016646333
31,11,0.089919722
32,11,0.001561264
33,11,0.00560442
34,11,0.004306169
35,11,0.014388469
36,11,0.088556363
37,11,0.050969001
38,11,0.085074204
39,11,0.040312795
40,11,0.002892562
1,12,0.033013066
2,12,0.002174032
3,12,0.081340426
4,12,0.029890753
5,12,0.002147294
6,12,0.008059599
7,12,0
8,12,0.010396236
9,12,0.00252034
10,12,0
11,12,0.000963566
12,12,0.00337144
13,12,0
14,12,0.003107838
15,12,0.002242951
16,12,0.00953665
17,12,0.001339428
18,12,0.019574652
19,12,0.019836697
20,12,0.01016859
21,12,0.016743792
22,12,0.100909695
23,12,0.132307619
24,12,0.116787447
25,12,0.005403197
26,12,0.001428963
27,12,0.002956379
28,12,0.007532265
29,12,0.010013106
30,12,0.029816161
31,12,0.103138877
32,12,0
33,12,0.000610728
34,12,0.000703666
35,12,0
36,12,0.098534195
37,12,0.043918055
38,12,0.060995881
39,12,0.026537911
40,12,0.001978505
1,13,0.043233725
2,13,0
3,13,0.095320765
4,13,0.029417748
5,13,0
6,13,0.004812892
7,13,0.022204246
8,13,0.012474419
9,13,0.00018205
10,13,0
11,13,0
12,13,0.004408892
13,13,0.027227846
14,13,0.010287488
15,13,0.002587079
16,13,0.007367027
17,13,0.011429534
18,13,0.031502802
19,13,0
20,13,0.012456973
21,13,0.041347537
22,13,0.077516272
23,13,0.099425483
24,13,0.033805758
25,13,0.025697282
26,13,0.001689681
27,13,0.007211044
28,13,0.010775914
29,13,0.00963206
30,13,0.013519382
31,13,0.05294169
32,13,0.002767302
33,13,0.000507233
34,13,0.005920631
35,13,0
36,13,0.135466303
37,13,0.057755058
38,13,0.060530626
39,13,0.048577258
40,13,0
1,14,0.263152251
2,14,0.023434344
3,14,0.053502671
4,14,0.007788583
5,14,0
6,14,0.000398142
7,14,0
8,14,0.028672531
9,14,0.003409549
10,14,0
11,14,0
12,14,0
13,14,0.018169367
14,14,0.000136044
15,14,0.0194208
16,14,0.015588338
17,14,0.00335434
18,14,0.016999386
19,14,0.007581974
20,14,0
21,14,0.016351177
22,14,0.107366453
23,14,0.083747901
24,14,0.013181832
25,14,0.01686431
26,14,0.00271714
27,14,0.024148197
28,14,0.03752085
29,14,0.005481648
30,14,0.021248087
31,14,0.032929735
32,14,0.011121457
33,14,0.000968778
34,14,0.005167612
35,14,0
36,14,0.091384049
37,14,0.03492622
38,14,0.021145015
39,14,0.009949149
40,14,0.002172071
1,15,0.126926231
2,15,0.033357813
3,15,0.0593941
4,15,0
5,15,0
6,15,0
7,15,0
8,15,0
9,15,0.011493091
10,15,0
11,15,0.014720437
12,15,0.008982601
13,15,0.02816315
14,15,0.000682885
15,15,0.011022558
16,15,0.006187272
17,15,0.000872319
18,15,0.025532474
19,15,0.010819368
20,15,0
21,15,0.013550293
22,15,0.171614735
23,15,0.10932817
24,15,0.083270443
25,15,0.027882141
26,15,0
27,15,0.014140672
28,15,0.024714571
29,15,0.00232677
30,15,0.012917391
31,15,0.04502421
32,15,0.010710274
33,15,0.002195371
34,15,0.062951917
35,15,0.0175333
36,15,0.000447965
37,15,0.032737852
38,15,0.015743269
39,15,0.014197351
40,15,0.000559005
1,16,0.049145063
2,16,0
3,16,0.07022021
4,16,0.030919964
5,16,0.001896985
6,16,0.055581393
7,16,0
8,16,0
9,16,0.000830559
10,16,0.004465006
11,16,0
12,16,0.005173102
13,16,0.017527456
14,16,0.010448655
15,16,0.001891002
16,16,0.021029394
17,16,0.012267896
18,16,0.0235391
19,16,0.009570084
20,16,0.0027791
21,16,0.031351185
22,16,0.089807736
23,16,0.056510062
24,16,0.052683413
25,16,0.011130293
26,16,0
27,16,0
28,16,0.007217965
29,16,0.009942033
30,16,0.035245079
31,16,0.10949544
32,16,0.008651697
33,16,0.021840755
34,16,1.89601E-05
35,16,0
36,16,0.074914612
37,16,0.056966957
38,16,0.095517377
39,16,0.018529629
40,16,0.002891837
1,17,0.020585102
2,17,0
3,17,0.064375582
4,17,0.044317848
5,17,0.003205209
6,17,0.009819223
7,17,0.008672651
8,17,0.021501774
9,17,0.003754117
10,17,0.003738282
11,17,0
12,17,0.008228965
13,17,0.032055579
14,17,0.002258684
15,17,0.007480409
16,17,0.012097287
17,17,0.006920393
18,17,0.025204904
19,17,0.006143457
20,17,0.018433696
21,17,0.012402303
22,17,0.108081597
23,17,0.111475051
24,17,0.044938578
25,17,0.022045512
26,17,0.005799014
27,17,0.001688638
28,17,0.01085602
29,17,0.011853082
30,17,0.025859323
31,17,0.070750753
32,17,0
33,17,0.00526842
34,17,0.001096614
35,17,0.005764698
36,17,0.092462735
37,17,0.059290346
38,17,0.071593172
39,17,0.030709508
40,17,0.009271475
1,18,0.014859892
2,18,0
3,18,0.055757682
4,18,0.018954268
5,18,0
6,18,0.008003488
7,18,0.009475492
8,18,0.005171754
9,18,0
10,18,0
11,18,0
12,18,0
13,18,0.029539148
14,18,0.013077524
15,18,0.003704997
16,18,0.012344354
17,18,0.002584182
18,18,0.059405552
19,18,0
20,18,0.013762332
21,18,0.020411088
22,18,0.179967443
23,18,0.123485962
24,18,0.033006568
25,18,0.019772475
26,18,0.004208292
27,18,0.002425223
28,18,0.003396381
29,18,0.006572293
30,18,0.011335646
31,18,0.096712789
32,18,0
33,18,0.003016741
34,18,0
35,18,0.025635661
36,18,0.066895762
37,18,0.04806941
38,18,0.060917239
39,18,0.035962127
40,18,0.011568234
1,19,0.034336837
2,19,0.002559945
3,19,0.072617707
4,19,0.016622724
5,19,0.000732761
6,19,0.000557328
7,19,0.007011059
8,19,0.011794605
9,19,0
10,19,0.005235087
11,19,0
12,19,0
13,19,0.034643832
14,19,0.002474079
15,19,0
16,19,0.052963125
17,19,0.008778465
18,19,0.053446268
19,19,0.016677945
20,19,0.010146894
21,19,0.002939487
22,19,0.186544696
23,19,0.093127943
24,19,0.059811249
25,19,0.024476379
26,19,0
27,19,0.014374915
28,19,0.018226371
29,19,0.001695993
30,19,0.006860935
31,19,0.03411039
32,19,0
33,19,0.006742709
34,19,0
35,19,0
36,19,0.072100564
37,19,0.046434843
38,19,0.029002987
39,19,0.034802594
40,19,0.038149281
1,20,0.046309886
2,20,0
3,20,0.093306422
4,20,0.020802083
5,20,0
6,20,0
7,20,0.014352882
8,20,0.012337332
9,20,0.002920997
10,20,0.011986765
11,20,0
12,20,0.007492399
13,20,0.018865559
14,20,0.009250393
15,20,0
16,20,0.014163503
17,20,0.001182143
18,20,0.035611913
19,20,0
20,20,0.022292034
21,20,0.011224763
22,20,0.077795084
23,20,0.116374774
24,20,0.062325243
25,20,0.062853886
26,20,0.005614592
27,20,0.00642566
28,20,0.005258056
29,20,0.012184518
30,20,0.010584167
31,20,0.076741711
32,20,0.004152197
33,20,0
34,20,0
35,20,0.034133624
36,20,0.042142095
37,20,0.052963661
38,20,0.0426118
39,20,0.065739857
40,20,0
1,21,0.025429421
2,21,0.01040594
3,21,0.0638072
4,21,0.024673917
5,21,0.002840116
6,21,0.012198411
7,21,0.011462248
8,21,0.024078011
