sector,CountryDestination,CountryOrigin,pi
1,1,1,0.981997015
1,1,2,0.000117087
1,1,3,2.96765E-06
1,1,4,0.004776357
1,1,5,7.93018E-05
1,1,6,0.00272239
1,1,7,2.6188E-05
1,1,8,7.77981E-05
1,1,9,5.49026E-07
1,1,10,0.000233408
1,1,11,0.000292686
1,1,12,3.15182E-05
1,1,13,3.0393E-07
1,1,14,2.28566E-05
1,1,15,2.77992E-05
1,1,16,2.39462E-07
1,1,17,0.000324195
1,1,18,2.66917E-05
1,1,19,1.2983E-05
1,1,20,3.63368E-05
1,1,21,8.58824E-05
1,1,22,0.000118302
1,1,23,0
1,1,24,4.41078E-05
1,1,25,0.000162835
1,1,26,0.000287821
1,1,27,9.00902E-07
1,1,28,0.000157011
1,1,29,5.2323E-05
1,1,30,0.002198132
1,1,31,0.006084013
1,2,1,5.01459E-05
1,2,2,0.974528674
1,2,3,1.34616E-05
1,2,4,0.00056852
1,2,5,0.00050872
1,2,6,9.18578E-05
1,2,7,0.001111544
1,2,8,0.000108958
1,2,9,3.08196E-06
1,2,10,9.3041E-05
1,2,11,0.000248283
1,2,12,0.000223036
1,2,13,5.71026E-06
1,2,14,0.001300376
1,2,15,0.001839971
1,2,16,2.78489E-05
1,2,17,0.00012418
1,2,18,0.001059634
1,2,19,2.96793E-05
1,2,20,0.000182142
1,2,21,0.000434193
1,2,22,0.004199778
1,2,23,1.17126E-06
1,2,24,7.07423E-07
1,2,25,8.72354E-06
1,2,26,0.00015929
1,2,27,2.58894E-06
1,2,28,0.000754788
1,2,29,0.00045146
1,2,30,0.005026599
1,2,31,0.006841835
1,3,1,0.000688613
1,3,2,0.000611557
1,3,3,0.840403352
1,3,4,0.005865367
1,3,5,0.000768607
1,3,6,0.000608856
1,3,7,0.000757772
1,3,8,0.001966391
1,3,9,3.36968E-05
1,3,10,0.003235117
1,3,11,0.020771363
1,3,12,0.002674643
1,3,13,0.006435731
1,3,14,0.001420891
1,3,15,0.001012792
1,3,16,4.99661E-05
1,3,17,0.017240865
1,3,18,0.000102974
1,3,19,3.39952E-06
1,3,20,0.001006721
1,3,21,0.017445544
1,3,22,0.000732874
1,3,23,0.000342724
1,3,24,6.13795E-05
1,3,25,0.002731316
1,3,26,0.011573302
1,3,27,8.13735E-05
1,3,28,0.004950956
1,3,29,0.000155069
1,3,30,0.00686793
1,3,31,0.049398858
1,4,1,0.009829534
1,4,2,4.58767E-05
1,4,3,8.05997E-06
1,4,4,0.964082715
1,4,5,0.000288602
1,4,6,0.001398208
1,4,7,0.000709927
1,4,8,8.93675E-05
1,4,9,2.36894E-06
1,4,10,0.000261712
1,4,11,0.000284456
1,4,12,0.001801489
1,4,13,4.35658E-06
1,4,14,0.000500533
