,Argentina,Australia,Austria,Brazil,Canada,Chile,China,Denmark,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Portugal,South Africa,Spain,Sweden,Turkey,UK,USA,ROW
Sector_17,3.8488724888922354e-05,0.00010794829253543036,9.151112694531405e-05,0.0002675894737998485,0.0002306558579486726,1.2598376228257743e-05,0.0002941637222724909,4.364103956332987e-05,2.7273361245498377e-05,0.0007708292034615884,0.001164139739236811,1.988338372341051e-05,2.6444186314192172e-05,4.484342930732897e-05,2.3550012552716882e-05,2.3256033130620513e-05,0.0004743193939980272,0.001012563339878278,0.00023845244804986663,9.318023344785768e-05,0.00012382469804810093,1.5144619587248904e-05,3.9953136030950544e-05,2.5790117854959108e-05,3.1569430888310664e-05,0.00017426590521156136,0.0001130324075744122,3.819974269547801e-05,0.0005088185222365871,0.002929642643623046,0.0019013760912172575
Sector_18,0.000402971604692225,0.0004560592734085297,0.0004087476057895972,0.0010100225371707594,0.0013695335582537195,8.579963806778159e-05,0.0020324394090282345,7.318590119104671e-05,3.711332486908278e-05,0.0026332645719161873,0.004190939094744809,9.464669335348804e-05,6.407640534601645e-05,0.00028053145491493373,0.0002168416018274836,3.9429820772395976e-05,0.0012944565583037765,0.011600459585740625,0.0010293914137079565,0.0006988227001898979,0.00031355274809366865,8.186250313523303e-05,5.87588687903462e-05,0.00012922324551900094,0.0002734843082597946,0.0009237853931168103,0.00025205280448619707,0.000358494336294273,0.0016990020259408738,0.01401803935442994,0.005493479284839
Sector_19,5.2521851535122885e-05,0.00015415115776765907,5.692746189712259e-05,0.00013048680720456282,0.00027495243759945376,1.4183904774543635e-05,0.0006228249757870406,8.18735643415297e-05,6.111007125295836e-05,0.0007917748613566655,0.0010510648356276677,9.430159147759908e-05,5.485293803578312e-06,0.00014556046957811943,0.00018828975718804177,2.3454627394558058e-05,0.0005184733042412826,0.000893281627829919,0.0003779738325869437,0.00010965410946548376,0.0002936913421889206,3.252378060153883e-05,0.0002421634633685916,1.6940913949099385e-05,4.1337239790569305e-05,0.00022467348218718753,9.40278319146789e-05,9.571190028327345e-05,0.0005351584440903099,0.004692020542437538,0.001804821647603765
Sector_20,6.87879264668168e-05,0.00013676915749860313,0.00023767393521738345,0.0002992504581079391,0.00036904380635108833,1.4894365502715716e-05,0.0001930623029915415,9.881537714333586e-05,3.9344747586002145e-05,0.0009768063746306331,0.0016362251097665095,6.132223007785405e-05,2.529662869522444e-05,0.0001441807145720337,2.3171994479569544e-05,1.501774262761379e-05,0.0010298495213826701,0.003455233391479842,0.0002693150507391813,0.0003931717994634296,0.00034604430241307147,3.56491365014879e-05,6.87295354205786e-05,9.745901186399473e-05,7.90071384135663e-05,0.0005100594306630283,0.0001229394487660545,3.885406072838049e-05,0.0007214702812748957,0.005924440575044848,0.002121024231746435
Sector_21,0.00030369741353797683,0.004479047735254964,0.00047539950735126624,0.0008336691757121438,0.0009912609104871925,0.00010884251838090561,0.0017673566384313149,0.0001895274098590757,0.00013348373766573418,0.002263651255467947,0.0032987943902327106,0.0001699733301925216,0.00013688538181136906,0.0006707517006553466,0.00012345824631542827,9.477073807582766e-05,0.0016143827040260353,0.009337511184885341,0.0004950296817379128,0.00042943212396334506,0.0007996216936815741,0.00010842677902935609,0.00018120324766103527,0.0002238981817118651,0.0002248605838882154,0.001031998987621238,0.000364247056286859,0.00028865388188542465,0.002289625265206133,0.009722684101466206,0.027092723013165017
Sector_22,0.0010800260848535892,0.0015672332807345082,0.0010888375831327166,0.001942154897707975,0.002843250350625266,0.00034790140020442934,0.0046695296530557834,0.0006162889038452364,0.0003966361555285196,0.006015706324811984,0.011216162131696076,0.0005622964943332272,0.0001389623070340403,0.001105599384062302,0.001066478343165622,0.00022551189374807158,0.0055131759186507565,0.03263037583958902,0.0028843139456833275,0.0013392048383243395,0.00198203607093741,0.0002124551767191364,0.0005162046095267057,0.0005723576812920691,0.00040475653723715183,0.0036590906576554946,0.0008976712787484342,0.0015392830605012262,0.004666492017279834,0.021182440083054647,0.03295971535119355
Sector_23,0.001812786283081303,0.002873396937652463,0.0016129829811497136,0.0017731237662887574,0.0037329993976406876,0.0004378105597152985,0.0037084776033687043,0.0010952305880271979,0.0005207161911503014,0.008645680026650636,0.014018554885196013,0.000949871058210504,0.00031771816402674394,0.0014367942626868737,0.0011013946957006548,0.00029307090955056094,0.00998240915143955,0.038897696635491974,0.002116235353954529,0.003062979297040782,0.0028033861517624097,0.0005399881186113077,0.000844740000618747,0.0007741469031802532,0.0008785044500651099,0.003396388608328964,0.0011655122645568802,0.0017436443990534504,0.006800572600115567,0.04874422598031279,0.04013599133123685
Sector_24,0.0005336481984075079,0.0006402747482749629,0.0005420737367451314,0.0004895978798690673,0.0010773656566185762,7.804666856665212e-05,0.001223291008731684,0.00017457202198623234,0.00012335617372656767,0.002082046670762593,0.0027412881034431565,0.000525158708204784,6.200112572465527e-05,0.0001678485548466223,0.0005357420426155403,9.005256242631008e-05,0.002375424773512016,0.009686408997412898,0.0010297679108261584,0.0010620643086311837,0.0004986271409352612,6.60691539338644e-05,0.00014972868063362665,0.00028185531720562664,0.00011276300181138401,0.002551398775574276,0.00023176017074022108,0.00041558030348838544,0.001975554590959333,0.01307156500175713,0.009957049302624475
Sector_25,0.00036546752111633467,0.0007969752583188984,0.00041322177066585337,0.0005593876177303878,0.0009998572125738815,0.00011671480035439685,0.0011859228474201098,0.0002599953061607757,0.00018249185574865348,0.0018477189060252248,0.0027689993181261763,0.00010724974930875432,9.327515485373418e-05,0.0006124578477252928,0.0002685719924137825,7.696703196092812e-05,0.002565434678189151,0.008459765482991082,0.0006828669129793554,0.0013387532043590944,0.0005588428075670752,7.610191284963102e-05,0.00027276788182181054,0.00012462309644588812,0.00022026181268447874,0.0008713157553891653,0.0004214996891841374,0.000664463051671566,0.0015985850745779875,0.007976019783439309,0.011133409884024687
Sector_26,2.260165489147586e-05,5.264026544918542e-05,6.981422014507005e-06,4.7724679886019505e-05,5.6522527077655256e-05,7.222258331841731e-06,0.00010303569375607358,0.00023241346210516931,5.7402294557061444e-05,0.00018048657616057196,0.00031030048923015883,6.3562738422935615e-06,2.681292745710772e-06,3.624361229575934e-05,3.0593249255990566e-05,1.0079245989144633e-05,0.000269319687014624,0.0018982592354234663,5.848289641879731e-05,9.925099166485745e-05,0.00018176872376768813,8.381686707925737e-06,0.0003569395651456138,7.589822985403574e-06,1.3751998642932132e-05,5.276384012029469e-05,0.00014027771448596072,5.4556965183181185e-05,0.00025426386295262203,0.0007736206162662176,0.0008781629060812717
Sector_27,0.00014762175722972065,0.0003251786294509582,7.332457845493768e-05,0.0002034709442523528,0.000284198027869301,4.714215142352084e-05,0.0003861597624516121,7.780035615358749e-05,3.7329730478957014e-05,0.0003798090315177504,0.0006210391305331755,4.3778512776510855e-05,1.0628593796428298e-05,0.00023407846944001947,0.00010578914372142658,3.652527601038713e-05,0.00032375583933037837,0.0009788093557178102,0.0002739792132400191,0.0001320559625727454,0.00021776310998361151,5.234672099243463e-05,8.47734995850818e-05,5.006808719030722e-05,8.690379959791183e-05,0.0003491565090543841,0.0001083021533755631,0.00026354696059986953,0.0005090042084914467,0.003450980261424512,0.0030148328588988755
Sector_28,0.00023863878779005953,0.0005266778051768226,0.00019187459719561157,0.0003389411923748962,0.0009741184862344368,7.622945504627829e-05,0.0006382296981240514,0.0002194202904163724,0.00014493718803965878,0.0013969846798176156,0.002441538933866972,6.888052638279879e-05,2.1874221466909743e-05,0.00037917962022294207,0.00017286772435798892,5.1701614914753324e-05,0.0011635399984535814,0.0026902260725760897,0.00044435783259870096,0.0001618148381508018,0.00033839942784936154,4.815646938063083e-05,0.00014526922517622061,8.063674839145488e-05,0.0001412211245509908,0.0006123712494238674,0.0004910032359999954,0.00042554110618195893,0.0011100103088007311,0.003324661517555056,0.005839336318479327
Sector_29,0.00031629172232496586,0.0006093540186537589,0.00022095265792703423,0.00029150274410361045,0.0010099998701606895,7.015619997959104e-05,0.0004927236586338525,0.00016439826054431402,0.00010874508425761463,0.0014107677920415834,0.0024961596504093587,0.00010624541895309538,5.112783603108696e-05,0.00012079000852592281,8.856907295225467e-05,7.184469588265976e-05,0.0011398113707141574,0.0037302942249429296,0.00032011445847157476,0.0003962332607238143,0.00043817535995106224,8.209449058085836e-05,0.0001716866645940042,0.00011446182900476554,0.00012499973366631736,0.0005981733362245522,0.00031794632335110793,0.0001146331268909901,0.0014174143437024973,0.012688320181923837,0.009358994745837715
Sector_30,0.0005001215807334082,0.0010270132870998886,0.0007018594220196397,0.0020163836890685744,0.002571277244707535,0.00013994061251973672,0.0015684703396255885,0.00041874366202074715,0.00020717419238266773,0.004315192418188133,0.00671552934572329,0.0002200792432662294,8.871399964149281e-05,0.0005743501822301995,0.0004154661705594137,0.00020279887564908278,0.0027120044848411608,0.013288242907441097,0.001179967464834763,0.0011188255802269532,0.0012715566736570673,0.00015775729931815087,0.00030932609339525893,0.0002738524883340105,0.0004643579126551312,0.0015757419313409966,0.0006434818560455213,0.0006467609083179292,0.004900788929072223,0.02928562548247237,0.010598559764730592
Sector_31,0.0011471124433676517,0.0020598341549891677,0.0007896278430130018,0.0019962016850641646,0.003279227733388746,6.395444270668407e-05,0.0008745483844948093,0.0006984709094165691,0.0004681487979639568,0.006689631937389313,0.011229138280252845,0.0005936628797462827,0.00010409028448514582,0.0005317164694514304,0.00030910305963954897,0.00017356064469196484,0.004122570050077407,0.01962335799347171,0.0012499564220923645,0.001641913869760356,0.0014606787078396191,0.0002786119971634482,0.0004889562698264785,0.000259746887555746,0.00030840685962024706,0.0019185062496061996,0.0014861082988422165,0.0004424084102755327,0.003323104009502565,0.038401871095436954,0.010226268722480806
Sector_32,4.906353734684938e-05,0.0003730836504137417,9.431726949131652e-05,9.172148992882635e-05,0.00024431458509966846,1.8212112401242347e-05,6.964734408561392e-05,3.843620768879886e-05,1.2932766109183925e-05,0.0008098618725062143,0.0016345835395700841,3.507627044266651e-05,1.2356091619103478e-05,0.00010677924924912441,9.643075232228528e-05,1.2756660431501687e-05,0.00020744945565677247,0.0024881391520795155,0.00022039680124054714,0.00013038996890912984,0.0001780840950778286,2.500452658283997e-05,2.08986408844096e-05,4.092093947224487e-05,3.3963039179561146e-05,0.00013224861985499533,7.34381123120977e-05,6.78608390149967e-06,0.0004454008231136216,0.004135435223500362,0.0020993875184763056
Sector_33,5.591389749842144e-05,0.000493648166404477,7.579532773490951e-05,0.0002802062985351927,0.0003017560728148515,1.8024291633364165e-05,9.823496230777686e-05,8.501336618525568e-05,4.9404098814580104e-05,0.0011183247635343388,0.0011075561138010528,6.664624268225868e-06,1.4773436584358218e-05,1.976079632043061e-05,1.954500262549685e-05,3.393535991001157e-05,0.0007344417405493451,0.002698930110422068,0.00012488353314522814,0.00013765035812093954,0.00017821310092999695,2.772498146442116e-05,6.654336265669365e-05,2.6900527968402033e-05,4.0539700088851995e-05,0.0001668570709026604,0.00017028191211602032,1.4484975088957217e-05,0.000640776651861533,0.005898080066109637,0.0019821335699693756
Sector_34,2.1842419106073937e-05,0.0001696645835628621,1.5853737493365248e-05,0.001515527039474067,0.00011502417886946563,6.247383596313224e-06,0.00011321015716753942,2.2693239047043178e-05,2.2658913422129762e-05,0.0011220358730188158,0.000520341496293385,4.516355383365555e-06,1.2897213698744874e-05,4.81096205839615e-05,0.0003621067862439136,1.2894331980971674e-06,0.00018745490664924977,0.0017886234799823972,0.000148607509204303,3.130168342763446e-05,0.00010856465898559481,9.783089265911089e-06,2.541365202478028e-05,6.427375301278272e-06,1.7013033415190104e-05,1.1544224648377625e-05,7.404153435738282e-05,7.740337301021764e-06,0.0002386346259520538,0.0016483904694210279,0.0007913777188802405
Sector_35,0.0005862355482142608,0.0013559034860119296,0.0005408500108394126,0.0007461465799683784,0.0019582023727292945,0.00019532770719211172,0.003021652678425108,0.0004162114855456678,0.00022546112122618926,0.006323807574957509,0.009183337989192837,0.00021632898063015318,0.00019888261905429185,4.485944380848109e-05,0.00015765604190853745,0.00023525217535869407,0.003388354839591644,0.011471578763796402,0.0006670733669985635,0.0011562491546096754,0.0017644161647087746,0.0001805189111500121,0.00031484886788453676,0.0003202363957656948,0.00027917128547683975,0.0013513420476595364,0.0007240026834788673,0.00033055512987555796,0.003303081223496571,0.0314967881233756,0.014159289618005066
Sector_36,0.000744364449592748,0.0009170949219640392,0.0006878971643481388,0.004385170215655194,0.002939883912982436,0.0001330629754241671,0.0009483941847745886,0.0005352738861246905,0.0002908016375884255,0.005455807668190785,0.007595775884665427,0.0004381997808065019,0.00021633338858575063,0.0008262142417066405,3.321546785275135e-06,0.00012332010384176004,0.003525091130779707,0.01168025849330392,0.0010365031399517002,0.000690315073361762,0.0016797446556414326,0.00016862380916419497,0.00048562168489800896,0.00034154554741380597,0.0009185265909924009,0.0017138834289317651,0.000883229805207368,0.0010868359063810184,0.003898525192628984,0.03817830345575238,0.009641227465976511
Sector_37,0.0004243399221028843,0.0006017797210862947,0.0004958608110397466,0.0006632791467561049,0.0016196606962452203,9.852615704539512e-05,0.0005631160888434351,0.0003624078214591811,0.00022828943875930147,0.0029497703632719217,0.004065241101287348,0.000195757722140293,9.305394581562134e-05,0.00031673698045648285,0.0001845912246917078,9.126451244094725e-05,0.00239903504888565,0.008083352863045819,0.000691849511201121,0.0008401184955298841,0.0007486435453293535,8.622435831005561e-05,0.0002782185741071701,0.00020732217641976477,1.3788416600236182e-05,0.0011084980034169905,0.0005871839573615735,8.029678466805771e-05,0.00250538795182638,0.016685210761232198,0.0009360032199078838
Sector_38,0.000540024222102535,0.000701055135081498,0.0005955752326168107,0.00039543235022572416,0.0019705469534416526,0.00011210912141593759,0.00040579520495973346,0.0006749846111828428,0.00037270029201224154,0.004612695346412494,0.006699243964869711,0.0002723843829979055,9.398092316244436e-05,0.0001928330391879948,9.04072735811254e-05,0.00015502730416020632,0.0029239536551053575,0.010573904133476685,0.00042007291697888303,0.0006643596388635094,0.0013355514504044712,0.00011602036411990823,0.0004930187124998813,0.000260688048211195,0.00010822008061033787,0.0014968296918088325,0.000991165410662226,8.402066470503926e-05,0.0035793053495858707,0.02556513998876851,0.004738480723111904
Sector_39,0.0007075162230009994,0.0005545812840986643,0.0004946823372550236,0.0006905335840954415,0.0010564031784602306,6.896800599136507e-05,0.0004732305830317903,0.00033933697968411376,0.00019724375252192658,0.002219337295065212,0.005690010963761175,0.00015187971406756986,0.00014549943653389562,0.0002630109525613196,0.00015210911847633908,6.84113269012367e-05,0.002127150332223887,0.011599492387937338,0.0006348072815491844,0.0010840359693560808,0.0008223381738105605,9.593865895040795e-05,0.00024234585441470051,0.0001744754337555181,0.00022220378979041522,0.0010177174908692587,0.0005018424521745249,0.0002430172776873003,0.0025870685777185268,0.016895522865703807,0.005378169836910587
Sector_40,0.00014424555059234208,0.00037165832291821796,3.477630810240789e-06,0.00020898997093736382,1.6588469284836147e-05,0.0001655329126147744,3.369088207610115e-08,7.363741629265673e-06,1.8345894370586304e-06,0.00028975750757608167,0.0002239537016000286,8.546088089970107e-06,7.380171309764113e-11,2.8076182563419606e-05,3.0770792687771687e-06,3.996273338216642e-06,0.0003498652235170301,0.0019137001200180209,0.000527705083638605,6.213228308909533e-09,4.6567113311695235e-05,2.895636966787326e-07,4.818437269883663e-06,1.81807581615303e-05,4.272833602831013e-07,0.00021152093802726947,8.859583084209793e-08,2.691034156488152e-10,0.00015924531682837473,0.0004201535642151378,0.00040622694508811566
